edge_kind,epsilon,amplitude_scale,decay_only_baseline_fidelity,process_fidelity,delta_from_decay_only,process_infidelity,no_jump_average_fidelity,active_population,loss_proxy,cz_phase_error_rad
gaussian,0.039999999999999994,1.04,0.9992240060555032,0.9927225704483629,-0.006501435607140338,0.007277429551637127,0.9934643682301569,0.9964315593573331,0.0035684406426669257,-0.01579992116140705
gaussian,0.040999999999999995,1.041,0.9992240060555032,0.9924014352060757,-0.006822570849427501,0.0075985647939242895,0.9931807304110081,0.996297911230737,0.0037020887692630344,-0.01643056100376228
gaussian,0.041999999999999996,1.042,0.9992240060555032,0.9920729775678702,-0.007151028487633049,0.007927022432129838,0.9928906956612314,0.9961615680346767,0.0038384319653232968,-0.017070344100148294
gaussian,0.043,1.043,0.9992240060555032,0.9917372293791827,-0.007486776676320472,0.008262770620817261,0.9925942960219342,0.9960225625929395,0.003977437407060469,-0.01771919594540261
gaussian,0.044,1.044,0.9992240060555032,0.9913942226793397,-0.007829783376163468,0.008605777320660257,0.9922915637397323,0.9958809279813022,0.004119072018697767,-0.018377041772257297
gaussian,0.045,1.045,0.9992240060555032,0.9910439896995288,-0.008180016355974429,0.008956010300471218,0.9919825312646016,0.995736697524892,0.004263302475107977,-0.019043806561241272
gaussian,0.046,1.046,0.9992240060555032,0.9906865628607617,-0.008537443194741479,0.009313437139238268,0.9916672312477075,0.9955899047954908,0.00441009520450919,-0.019719415050654554
gaussian,0.047,1.047,0.9992240060555032,0.9903219747718356,-0.008902031283667622,0.00967802522816441,0.9913456965392257,0.9954405836087862,0.004559416391213822,-0.02040379174659579
gaussian,0.048,1.048,0.9992240060555032,0.9899502582272425,-0.009273747828260737,0.010049741772757526,0.9910179601861012,0.9952887680215361,0.004711231978463903,-0.021096860933079498
gaussian,0.049,1.049,0.9992240060555032,0.9895714462050915,-0.00965255985041169,0.01042855379490848,0.9906840554298106,0.9951344923286877,0.00486550767131233,-0.02179854668220571
gaussian,0.05,1.05,0.9992240060555032,0.9891855718650074,-0.01003843419049577,0.01081442813499256,0.9903440157040928,0.9949777910604342,0.005022208939565842,-0.022508772864405557
smoothstep5,-0.05,0.95,0.9991111983444656,0.9860915831143047,-0.01301961523016093,0.01390841688569533,0.9866329511516924,0.9887984233012435,0.011201576698756543,-0.014403252532352973
smoothstep5,-0.049,0.951,0.9991111983444656,0.9865580122070874,-0.012553186137378214,0.013441987792912613,0.9870767457322636,0.9891516798329678,0.010848320167032188,-0.014499570989095822
smoothstep5,-0.048,0.952,0.9991111983444656,0.9870161430067314,-0.01209505533773425,0.01298385699326865,0.9875127691897806,0.9894992739219779,0.010500726078022105,-0.014577211810340884
smoothstep5,-0.047,0.953,0.9991111983444656,0.9874659682461521,-0.01164523009831353,0.01253403175384793,0.9879410115048671,0.9898411845397271,0.010158815460272863,-0.014636116086478523
smoothstep5,-0.046,0.954,0.9991111983444656,0.9879074806773848,-0.011203717667080837,0.012092519322615236,0.9883614626642216,0.9901773906115697,0.00982260938843027,-0.014676226019129324
smoothstep5,-0.045000000000000005,0.955,0.9991111983444656,0.9883406730721616,-0.010770525272304043,0.011659326927838443,0.9887741126620273,0.990507871021491,0.00949212897850904,-0.014697484923235749
smoothstep5,-0.044000000000000004,0.956,0.9991111983444656,0.9887655382225586,-0.010345660121906963,0.011234461777441362,0.9891789515014316,0.9908326046169238,0.009167395383076204,-0.014699837228912216
smoothstep5,-0.043000000000000003,0.957,0.9991111983444656,0.9891820689416307,-0.009929129402834858,0.010817931058369257,0.9895759691960178,0.9911515702135661,0.008848429786433853,-0.01468322848307313
smoothstep5,-0.042,0.958,0.9991111983444656,0.9895902580640775,-0.00952094028038808,0.010409741935922479,0.9899651557713117,0.9914647466002484,0.008535253399751586,-0.01464760535082199
smoothstep5,-0.041,0.959,0.9991111983444656,0.9899900984469361,-0.009121099897529517,0.010009901553063916,0.990346501266316,0.9917721125438357,0.008227887456164318,-0.01459291561661935
smoothstep5,-0.04,0.96,0.9991111983444656,0.9903815829702829,-0.008729615374182709,0.009618417029717108,0.9907199957350572,0.992073646794155,0.007926353205845005,-0.014519108185224283
smoothstep5,-0.03900000000000001,0.961,0.9991111983444656,0.9907647045379719,-0.00834649380649366,0.00923529546202806,0.991085629248172,0.9923693280889717,0.007630671911028286,-0.014426133082438675
smoothstep5,-0.038000000000000006,0.962,0.9991111983444656,0.9911394560783799,-0.007971742266085657,0.008860543921620057,0.9914433918945003,0.9926591351589819,0.0073408648410181465,-0.014313941455609935
smoothstep5,-0.037000000000000005,0.963,0.9991111983444656,0.9915058305451772,-0.007605367799288443,0.008494169454822842,0.9917932737827109,0.9929430467328457,0.007056953267154276,-0.014182485573948966
smoothstep5,-0.036000000000000004,0.964,0.9991111983444656,0.9918638209181169,-0.007247377426348733,0.008136179081883133,0.9921352650429421,0.9932210415422429,0.006778958457757112,-0.014031718828645623
smoothstep5,-0.035,0.965,0.9991111983444656,0.9922134202038516,-0.006897778140613986,0.007786579796148385,0.9924693558284762,0.9934930983269741,0.006506901673025922,-0.013861595732766574
smoothstep5,-0.034,0.966,0.9991111983444656,0.9925546214367585,-0.006556576907707057,0.007445378563241456,0.9927955363174208,0.9937591958400699,0.006240804159930113,-0.013672071920975526
smoothstep5,-0.033,0.967,0.9991111983444656,0.9928874176798017,-0.006223780664663892,0.007112582320198291,0.993113796714432,0.9940193128529526,0.005980687147047359,-0.01346310414907137
smoothstep5,-0.032,0.968,0.9991111983444656,0.9932118020253861,-0.005899396319079542,0.006788197974613941,0.9934241272524282,0.9942734281605966,0.005726571839403394,-0.013234650293308725
smoothstep5,-0.031000000000000003,0.969,0.9991111983444656,0.9935277675962632,-0.005583430748202445,0.006472232403736844,0.9937265181943589,0.9945215205867423,0.005478479413257742,-0.01298666934957815
smoothstep5,-0.030000000000000002,0.97,0.9991111983444656,0.9938353075464312,-0.005275890798034366,0.006164692453568765,0.9940209598349684,0.9947635689891171,0.0052364310108828915,-0.012719121432391844
smoothstep5,-0.029,0.971,0.9991111983444656,0.9941344150620781,-0.004976783282387487,0.005865584937921886,0.9943074425026023,0.9949995522646993,0.005000447735300728,-0.012431967773685493
smoothstep5,-0.028000000000000004,0.972,0.9991111983444656,0.9944250833625113,-0.004686114981954259,0.005574916637488658,0.9945859565610051,0.9952294493549805,0.004770550645019522,-0.012125170721484224
smoothstep5,-0.027000000000000003,0.973,0.9991111983444656,0.994707305701137,-0.004403892643328633,0.005292694298863032,0.9948564924111644,0.9954532392512736,0.004546760748726397,-0.011798693738377608
smoothstep5,-0.026000000000000002,0.974,0.9991111983444656,0.9949810753664441,-0.004130122978021511,0.00501892463355591,0.9951190404931627,0.9956709010000371,0.0043290989999629215,-0.011452501399860537
smoothstep5,-0.025,0.975,0.9991111983444656,0.9952463856830116,-0.003864812661453998,0.004753614316988397,0.9953735912880528,0.9958824137082174,0.0041175862917826045,-0.011086559392503581
smoothstep5,-0.024,0.976,0.9991111983444656,0.9955032300125225,-0.003607968331943101,0.0044967699874775,0.9956201353197398,0.9960877565486091,0.003912243451390851,-0.010700834511986557
smoothstep5,-0.023000000000000003,0.977,0.9991111983444656,0.9957516017548156,-0.0033595965896500157,0.004248398245184415,0.9958586631569017,0.996286908765247,0.003713091234753052,-0.010295294660989995
smoothstep5,-0.022000000000000002,0.978,0.9991111983444656,0.9959914943489391,-0.0031197039955265238,0.004008505651060923,0.9960891654149122,0.9964798496788048,0.0035201503211952367,-0.00986990884693384
smoothstep5,-0.021,0.979,0.9991111983444656,0.9962229012742264,-0.0028882970702391875,0.0037770987257735866,0.996311632757784,0.9966665586920141,0.0033334413079858516,-0.009424647179601564
smoothstep5,-0.020000000000000004,0.98,0.9991111983444656,0.9964458160513974,-0.0026653822930682303,0.0035541839486026294,0.9965260559001402,0.996847015295112,0.0031529847048880066,-0.0089594808686142
smoothstep5,-0.019000000000000003,0.981,0.9991111983444656,0.9966602322436586,-0.0024509661008069727,0.003339767756341372,0.9967324256091828,0.9970211990712801,0.002978800928719938,-0.008474382220802212
smoothstep5,-0.018000000000000002,0.982,0.9991111983444656,0.9968661434578499,-0.0022450548866157494,0.0031338565421501485,0.996930732706707,0.9971890897021352,0.0028109102978648437,-0.007969324637432607
smoothstep5,-0.017,0.983,0.9991111983444656,0.9970635433455721,-0.002047654998893478,0.002936456654427877,0.9971209680710965,0.9973506669731939,0.0026493330268061444,-0.007444282611335673
smoothstep5,-0.016,0.984,0.9991111983444656,0.9972524256043636,-0.0018587727401020437,0.002747574395636443,0.9973031226393676,0.9975059107793833,0.0024940892206166687,-0.006899231723918042
smoothstep5,-0.015,0.985,0.9991111983444656,0.9974327839788709,-0.0016784143655946826,0.0025672160211290818,0.9974771874092054,0.9976548011305433,0.0023451988694567216,-0.0063341486420593895
smoothstep5,-0.013999999999999999,0.986,0.9991111983444656,0.9976046122620545,-0.0015065860824110544,0.0023953877379454536,0.9976431534410354,0.9977973181569586,0.0022026818430413986,-0.005749011114915881
smoothstep5,-0.013000000000000005,0.987,0.9991111983444656,0.9977679042963904,-0.0013432940480752054,0.0022320957036096045,0.9978010118600885,0.9979334421148812,0.0020665578851187805,-0.005143797970620589
smoothstep5,-0.012000000000000004,0.988,0.9991111983444656,0.9979226539751082,-0.0011885443693574471,0.0020773460248918463,0.9979507538585028,0.9980631533920821,0.0019368466079179303,-0.004518489112888879
smoothstep5,-0.011000000000000003,0.989,0.9991111983444656,0.9980688552434264,-0.0010423431010392337,0.0019311447565736328,0.9980923706974207,0.9981864325133982,0.0018135674866017748,-0.003873065517528751
smoothstep5,-0.010000000000000002,0.99,0.9991111983444656,0.9982065020998199,-0.0009046962446457307,0.0017934979001801299,0.9982258537091155,0.998303260146298,0.0016967398537020006,-0.00320750922887747
smoothstep5,-0.009000000000000001,0.991,0.9991111983444656,0.9983355885972883,-0.0007756097471772749,0.001664411402711674,0.9983511942991189,0.9984136171064414,0.0015863828935586133,-0.0025218033561467124
smoothstep5,-0.008,0.992,0.9991111983444656,0.9984561088446496,-0.000655089499815964,0.0015438911553503631,0.9984683839483719,0.998517484363261,0.001482515636738957,-0.0018159320696859993
smoothstep5,-0.006999999999999999,0.993,0.9991111983444656,0.9985680570078449,-0.0005431413366207005,0.0014319429921550997,0.9985774142153835,0.9986148430455377,0.0013851569544622855,-0.0010898805971777392
smoothstep5,-0.006000000000000005,0.994,0.9991111983444656,0.9986714273112549,-0.00043977103321068967,0.0013285726887450888,0.998678276738401,0.998705674446986,0.0012943255530140085,-0.0003436352197656589
smoothstep5,-0.0050000000000000044,0.995,0.9991111983444656,0.9987662140390431,-0.00034498430542251324,0.0012337859609569124,0.9987709632376035,0.9987899600318446,0.0012100399681553853,0.0004228167318931497
smoothstep5,-0.0040000000000000036,0.996,0.9991111983444656,0.9988524115364843,-0.0002587868079813038,0.001147588463515703,0.9988554655172779,0.9988676814404523,0.0011323185595476515,0.0012094868816276971
smoothstep5,-0.0030000000000000027,0.997,0.9991111983444656,0.9989300142113527,-0.00018118413311285497,0.0010699857886472541,0.9989317754680547,0.9989388204948629,0.0010611795051370665,0.0020163858118280586
smoothstep5,-0.0020000000000000018,0.998,0.9991111983444656,0.9989990165352772,-0.00011218180918837195,0.0010009834647227711,0.9989998850691055,0.9990033592044186,0.0009966407955813716,0.002843523067550535
smoothstep5,-0.0010000000000000009,0.999,0.9991111983444656,0.9990594130451352,-5.178529933036469e-05,0.0009405869548647638,0.9990597863903774,0.9990612797713463,0.0009387202286537111,0.0036909071607054145
