omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,smoothness_weight,curvature_weight,fidelity,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,passed,success,num_iter,alpha,beta
10.0,10.0,150.0,64,360,0.0001,0.0001,0.9992608709572527,0.9992608709572527,0.9992608811703585,0.9992609220227819,0.0007390779772180611,True,True,259,6.491413973399753e-14,1.9606680681882227
10.0,10.0,160.0,64,360,0.0001,0.0001,0.999233130024093,0.999233130024093,0.9992331672264617,0.999233316035937,0.0007666839640629863,True,True,267,-1.0445402762704731e-13,1.8629035595931078
10.0,10.0,170.0,64,360,0.0001,0.0001,0.9992030516275974,0.9992030516275974,0.9992030687125479,0.9992031370523506,0.0007968629476493572,True,True,300,3.0443744293213446e-13,1.789255144877283
10.0,10.0,180.0,64,360,0.0001,0.0001,0.9991600454952702,0.9991600454952702,0.9991600640172242,0.9991601381050406,0.0008398618949594372,True,True,265,1.0610383602179558e-13,1.6811021465513443
10.0,10.0,190.0,64,360,0.0001,0.0001,0.9991101701818347,0.9991101701818347,0.999110186098126,0.9991102497632911,0.0008897502367088972,True,True,56,8.711474280549912e-14,1.5328424167047874
10.0,10.0,210.0,64,360,0.0001,0.0001,0.999057398894868,0.999057398894868,0.9990574161155988,0.999057484998522,0.000942515001478017,True,False,360,8.212837013145496e-13,1.2227023720381651
10.0,10.0,240.0,64,360,0.0001,0.0001,0.9989964101447161,0.9989964101447161,0.998996429470896,0.9989965067756157,0.0010034932243843109,False,True,337,1.4275635122132852e-12,0.9648039979909501
10.0,20.0,120.0,64,360,0.0001,0.0001,0.8888039136358233,0.8888039136358233,0.8910376009084381,0.8999723499988974,0.10002765000110259,False,True,87,2.956243327273428e-14,-2.3468631842412453
10.0,20.0,135.0,64,360,0.0001,0.0001,0.9728432629973199,0.9728432629973199,0.9731508343504081,0.9743811197627603,0.025618880237239683,False,True,70,-1.2736363904276412e-13,-2.1486595057859974
10.0,20.0,150.0,64,360,0.0001,0.0001,0.9992652225192606,0.9992652225192606,0.9992652373183596,0.9992652965147553,0.0007347034852447365,True,True,296,3.640374526741986e-13,-1.9057325541208374
