omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,fidelity,process_fidelity,active_population,leakage,cz_phase_error_rad,passed,success,num_iter,alpha,beta
10.0,10.0,190.0,100,240,0.9999999973539196,0.9999999969483429,0.9999999989762269,1.0237730663220646e-09,-0.00017982802822480437,True,True,161,-3.8123213067751897e-13,1.5744683463290006
10.0,10.0,240.0,100,240,0.9999998933444754,0.9999998881207239,0.9999999142394816,8.576051835351706e-08,-0.00042961417999531903,True,False,240,1.4308735901175766e-13,-0.6015648477983717
10.0,10.0,300.0,100,240,0.9999999935470745,0.9999999934673534,0.9999999938659594,6.134040608785085e-09,7.67643851817823e-05,True,True,212,2.944055811545945e-13,-1.864205592993094
10.0,10.0,380.0,100,240,0.999999997604958,0.9999999975837834,0.9999999976896565,2.310343472089471e-09,-3.940213669118009e-05,True,True,197,3.6369418380684413e-13,0.9937211253581739
10.0,20.0,60.0,100,240,0.6109191967254075,0.5142178586275414,0.9977245491168716,0.002275450883128416,-3.0800204486082445,False,True,134,5.113894659104702e-13,-1.7133762316389274
10.0,20.0,80.0,100,240,0.6607257505149158,0.5829985337857919,0.9716346174314112,0.02836538256858878,-2.7387331271999917,False,True,89,3.2738858520050017e-13,-1.9530359521556362
10.0,20.0,100.0,100,240,0.7642211636733138,0.7333036419045484,0.8878912507483755,0.1121087492516245,-1.7169068119051192,False,True,72,2.6449582676036545e-13,-2.2881940092217636
10.0,20.0,120.0,100,240,0.8961094237237285,0.8917992242470099,0.913350221630603,0.08664977836939702,-0.6066640273457438,False,True,76,-1.377614722474271e-13,-2.2556176544044875
10.0,20.0,150.0,100,240,0.9999999647764124,0.9999999643135854,0.9999999666277206,3.3372279384380477e-08,-0.00019176183245672718,True,True,220,2.699258068676379e-13,2.192580787737373
10.0,20.0,190.0,100,240,0.9999999327715935,0.9999999325464177,0.9999999336722968,6.632770321868264e-08,-0.00013409286142263,True,False,240,3.0027043205450553e-13,1.7051941429946218
