Fig2a_population_x,Fig2a_population_y,Fig2a_population_yerr,Fig2a_|0>_x,Fig2a_|0>_y,Fig2a_|0>_yerr,Fig2a_|1>_x,Fig2a_|1>_y,Fig2a_|1>_yerr,Fig2b_ScatterRates_x,Fig2b_ScatterRates_y,Fig2b_ScatterRates_yerr,Fig2c_1S0population_x,Fig2c_1S0population_y,Fig2c_1S0population_yerr,Fig2d_dark_counts,Fig2d_dark_bins,Fig2d_bright_counts,Fig2d_bright_bins,Fig2g_P(err.|det.)_x,Fig2g_P(err.|det.)_y,Fig2g_P(err.|det.)_yerr,Fig2g_(e-e_c)/e_x,Fig2g_(e-e_c)/e_y,Fig2g_(e-e_c)/e_yerr,Fig2e_raw_x,Fig2e_raw_y,Fig2e_raw_yerr,Fig2e_eraure_x,Fig2e_eraure_y,Fig2e_eraure_yerr,Fig2e_survival_x,Fig2e_survival_y,Fig2e_survival_yerr,Fig2d_399on_x,Fig2d_399on_y,Fig2d_399on_yerr
,,,,,,,,,,,,,,,0.0,4820.0,12.0,4820.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,4920.0,12.0,4920.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5020.0,13.0,5020.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5120.0,11.0,5120.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5220.0,7.0,5220.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5320.0,5.0,5320.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5420.0,4.0,5420.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5520.0,8.0,5520.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5620.0,6.0,5620.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5720.0,5.0,5720.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5820.0,0.0,5820.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,5920.0,1.0,5920.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6020.0,1.0,6020.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6120.0,0.0,6120.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6220.0,2.0,6220.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6320.0,5.0,6320.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6420.0,0.0,6420.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6520.0,1.0,6520.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6620.0,1.0,6620.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6720.0,0.0,6720.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6820.0,0.0,6820.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,6920.0,0.0,6920.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,7020.0,1.0,7020.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,7120.0,0.0,7120.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,7220.0,1.0,7220.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7320.0,,7320.0,,,,,,,,,,,,,,,,,,
